Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
9/1/18,1,Driving under the influence,,1,3B10,"Highway, Road, Street, Alley",12000-12099,NORTHWEST,FWY,
9/1/18,1,Driving under the influence,,1,2A60,"Highway, Road, Street, Alley",700-799,IH 610,FWY,W
9/1/18,1,Drunkenness,,1,1A20,"Bar, Nightclub",2300-2399,BRAZOS,ST,
9/1/18,1,Motor vehicle theft,,1,1A10,"Highway, Road, Street, Alley",1100-1199,CAPITOL,ST,
9/1/18,1,Theft from building,,1,13D20,"Service, Gas Station",7700-7799,BELLFORT,ST,
9/1/18,1,All other larceny,,1,1A20,"Bar, Nightclub",700-799,PACIFIC,,
9/1/18,1,All other larceny,,1,14D10,"Residence, Home (Includes Apartment)",6600-6699,LONDON,ST,
9/1/18,1,"Credit card, ATM fraud",,1,1.60E+21,"Other, Unknown",4100-4199,STAGHORN CORAL,LN,
9/1/18,2,Stolen property offenses,,1,8C10,"Highway, Road, Street, Alley",9500-9599,HOMESTEAD,RD,
9/1/18,2,All other offenses,,1,8C10,"Highway, Road, Street, Alley",9500-9599,HOMESTEAD,RD,
9/1/18,2,All other offenses,,1,14D30,"Highway, Road, Street, Alley",7700-7799,ST LO,RD,
9/1/18,2,Drunkenness,,1,1A10,"Highway, Road, Street, Alley",500-599,MAIN,ST,
9/1/18,2,Robbery,,1,1.70E+11,"Residence, Home (Includes Apartment)",5500-5599,EL CAMINO DEL REY,ST,
9/1/18,2,Robbery,,1,14D40,"Residence, Home (Includes Apartment)",12000-12099,MARTIN LUTHER KING,BLVD,
9/1/18,2,Driving under the influence,,1,2A50,"Highway, Road, Street, Alley",900-999,REINERMAN,ST,
9/1/18,2,Theft from building,,1,18F30,"Bar, Nightclub",6400-6499,RICHMOND,AVE,
9/1/18,2,Driving under the influence,,1,1.50E+31,"Highway, Road, Street, Alley",12000-12099,MAIN,ST,
9/1/18,2,Simple assault,,1,19G40,"Other, Unknown",11900-11999,BISSONNET,ST,
9/1/18,2,"Drug, narcotic violations",,1,10H50,"Highway, Road, Street, Alley",2600-2699,SCOTT,ST,
9/1/18,2,Driving under the influence,,1,10H50,"Highway, Road, Street, Alley",2600-2699,SCOTT,ST,
9/1/18,2,Aggravated Assault,,1,22B10,"Hotel, Motel, ETC",8700-8799,FM 1960,RD,W
9/1/18,2,Simple assault,,2,18F40,"Residence, Home (Includes Apartment)",2400-2499,VOSS,RD,S
9/1/18,2,All other offenses,,1,10H40,"Highway, Road, Street, Alley",2200-2299,CRAWFORD,ST,
9/1/18,2,Robbery,,1,13D20,"Residence, Home (Includes Apartment)",8700-8799,BROADWAY,ST,
9/1/18,2,Theft from motor vehicle,,1,18F30,"Highway, Road, Street, Alley",6400-6499,RICHMOND,AVE,
9/1/18,2,Theft from motor vehicle,,1,1A30,"Parking Lot, Garage",1500-1599,WESTHEIMER,RD,
9/1/18,2,"Burglary, Breaking and Entering",,1,20G10,"Residence, Home (Includes Apartment)",9900-9999,RICHMOND,AVE,
9/1/18,2,Theft of motor vehicle parts or accessory,,1,14D20,"Residence, Home (Includes Apartment)",4800-4899,JARMESE,ST,
9/1/18,2,Robbery,,1,18F40,"Highway, Road, Street, Alley",2700-2799,CROSSVIEW,DR,
