Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
02/26/2018,08,Burglary,10H20,Residence or House,1400-1499,ELLIOTT ST,ST,-,1
02/28/2018,04,Burglary,10H20,Restaurant or Cafeteria,1100-1199,DUMBLE,ST,-,1
01/14/2018,01,Aggravated Assault,10H30,Apartment,100-199,OAK,DR,-,1
02/01/2018,16,AutoTheft,10H30,Apartment Parking Lot,2400-2499,CAPITOL ST APT 1311,-,-,1
02/02/2018,20,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST,-,1
02/02/2018,09,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,HOLMES,RD,S,1
02/02/2018,22,Theft,10H30,Other Parking Lot,2200-2299,DALLAS ST,ST,-,1
02/03/2018,02,Theft,10H30,Bar or Night Club Parking Lot,2100-2199,DALLAS ST,ST,-,1
02/03/2018,02,Theft,10H30,"Road, Street, or Sidewalk",3500-3599,SANTA ROSA,LN,-,1
02/03/2018,09,Burglary,10H30,Construction Site,1400-1499,LOOP,-,N,1
02/03/2018,21,Robbery,10H30,"Road, Street, or Sidewalk",3800-3899,CENTER,ST,-,1
02/04/2018,12,Theft,10H30,Other Parking Lot,1500-1599,SAINT EMANUEL ST,ST,-,1
02/05/2018,11,Theft,10H30,Residence or House,1800-1899,SHEARN,ST,-,1
02/06/2018,20,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS ST,ST,-,1
02/06/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,MCKINNEY ST,ST,-,1
02/07/2018,00,Theft,10H30,Commercial Parking Lot or Garage,800-899,SAINT EMANUEL ST,ST,-,1
02/07/2018,00,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,POLK,-,-,1
02/07/2018,07,Theft,10H30,"Road, Street, or Sidewalk",1700-1799,ADEN DR,-,-,1
02/08/2018,18,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,MILBY,-,-,1
02/08/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,HUTCHINS ST,ST,-,1
02/09/2018,07,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,CLAY ST,ST,-,1
02/09/2018,16,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,RASPBERRY,LN,-,1
02/10/2018,00,Aggravated Assault,10H30,Bar or Night Club,800-899,BOOTH,ST,-,2
02/10/2018,16,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE ST,ST,-,1
02/11/2018,02,Theft,10H30,"Road, Street, or Sidewalk",13200-13299,TRINITY KNOLL,WAY,-,1
02/11/2018,15,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,COMMERCE ST,ST,-,1
02/11/2018,16,AutoTheft,10H30,"Road, Street, or Sidewalk",1300-1399,AVE M,-,-,1
02/12/2018,16,Theft,10H30,Other Parking Lot,2400-2499,BELL ST,ST,-,1
02/13/2018,12,Theft,10H30,Apartment,4100-4199,CEDAR,RD,-,1
02/13/2018,17,Theft,10H30,Service or Gas Station,2800-2899,HEMINGWAY DRIVE,-,-,1
02/14/2018,22,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,DALLAS ST,ST,-,1
02/14/2018,22,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
02/14/2018,14,AutoTheft,10H30,Hospital Parking Lot,2100-2199,LEELAND,-,-,1
02/14/2018,06,Burglary,10H30,Restaurant or Cafeteria,2400-2499,TEXAS ST,ST,-,1
02/14/2018,23,Theft,10H30,Commercial Parking Lot or Garage,6100-6199,SANTA CHRISTI,DR,-,1
02/15/2018,09,Theft,10H30,Other Parking Lot,2100-2199,POLK,-,-,1
02/15/2018,11,AutoTheft,10H30,"Road, Street, or Sidewalk",1600-1699,BASTROP ST,ST,-,1
02/15/2018,16,Theft,10H30,Commercial Parking Lot or Garage,2900-2999,MCKINNEY ST,ST,-,1
02/17/2018,09,Theft,10H30,"Other, Unknown, or Not Listed",2000-2099,CONGRESS,-,-,1
02/17/2018,23,Theft,10H30,"Road, Street, or Sidewalk",9800-9899,LARKWOOD DR APT 2301,-,-,1
02/18/2018,01,Aggravated Assault,10H30,Bar or Night Club,1600-1699,SAINT EMANUEL ST,ST,-,1
02/18/2018,00,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,PRESTON ST,ST,-,1
02/18/2018,02,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,DALLAS ST,ST,-,1
02/18/2018,15,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,ST EMANUEL,-,-,1
02/19/2018,21,Burglary,10H30,Garage or Carport,2600-2699,POLK,ST,-,1
02/20/2018,06,Burglary,10H30,Residence or House,1200-1299,PALMER ST,ST,-,1
02/20/2018,07,Burglary,10H30,Commercial Building,1900-1999,MILLER,-,-,1
02/20/2018,08,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,POLK,-,-,1
02/20/2018,12,Aggravated Assault,10H30,"Other, Unknown, or Not Listed",2000-2099,CONGRESS,-,-,1
02/21/2018,17,Theft,10H30,"Other, Unknown, or Not Listed",2400-2499,CAPITOL ST,ST,-,1
02/21/2018,18,Theft,10H30,Apartment,2400-2499,P.O. BOX 650293,-,-,1
