Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
8/1/18,0,All other larceny,,1,19G30,"Residence, Home (Includes Apartment)",12900-12999,GREENWAY CHASE,CT,
8/1/18,1,Simple assault,,1,22B20,"Residence, Home (Includes Apartment)",16800-16899,IMPERIAL VALLEY,DR,
8/1/18,1,"Burglary, Breaking and Entering",,1,9C40,"Other, Unknown",13300-13399,EAST,FWY,
8/1/18,1,Trespass of real property,,1,1.50E+41,"Residence, Home (Includes Apartment)",9100-9199,LAKES AT 610,DR,
8/1/18,1,Aggravated Assault,,1,10H60,"Highway, Road, Street, Alley",4300-4399,OLD SPANISH,TRL,
8/1/18,1,Simple assault,,1,6B30,"Residence, Home (Includes Apartment)",7000-7099,INWOOD PARK,DR,
8/1/18,1,Weapon law violations,,1,18F60,"Highway, Road, Street, Alley",8000-8099,BEECHNUT,ST,
8/1/18,1,Weapon law violations,,1,20G40,"Highway, Road, Street, Alley",11500-11599,WESTHEIMER,RD,
8/1/18,1,Robbery,,1,20G30,"Highway, Road, Street, Alley",10600-10699,MEADOWGLEN,LN,
8/1/18,1,Aggravated Assault,,2,19G50,"Residence, Home (Includes Apartment)",11600-11699,BELLFORT,AVE,W
8/1/18,1,Driving under the influence,,1,12D10,"Parking Lot, Garage",8900-8999,CLEARWOOD,ST,
8/1/18,1,Simple assault,,1,6B20,"Residence, Home (Includes Apartment)",800-899,LOVERS,LN,
8/1/18,1,"Destruction, damage, vandalism",,1,10H50,Convenience Store,2700-2799,SCOTT,ST,
8/1/18,1,Trespass of real property,,1,8C60,"Residence, Home (Includes Apartment)",11200-11299,LEMOND,DR,
8/1/18,1,Theft of motor vehicle parts or accessory,,1,20G10,"Residence, Home (Includes Apartment)",6500-6599,RANCHESTER,DR,
8/1/18,1,All other larceny,,1,10H60,"Bar, Nightclub",2500-2599,SOUTHMORE,BLVD,
8/1/18,1,Forcible sodomy,,1,1A20,"Other, Unknown",2700-2799,WHITNEY,ST,
8/1/18,1,Motor vehicle theft,,1,12D10,"Residence, Home (Includes Apartment)",10900-10999,GULF,FWY,
8/1/18,1,Robbery,,1,3B50,"Parking Lot, Garage",5200-5299,AIRLINE,DR,
8/1/18,1,"Counterfeiting, forgery",,1,12D10,"Residence, Home (Includes Apartment)",3900-3999,ARLINGTON SQUARE,DR,
8/1/18,1,Intimidation,,1,1A20,"Residence, Home (Includes Apartment)",800-899,WESTHEIMER,RD,
8/1/18,1,All other larceny,,1,10H70,"Drug Store, Doctors Office, Hospital",1500-1599,TAUB,LP,
8/1/18,2,Simple assault,,1,1A20,"Highway, Road, Street, Alley",2800-2899,TAFT,ST,
8/1/18,2,All other offenses,,1,5F30,"Highway, Road, Street, Alley",14000-14099,NORTHWEST,FWY,
8/1/18,2,Aggravated Assault,,1,1.70E+31,"Residence, Home (Includes Apartment)",10200-10299,GESSNER,RD,S
8/1/18,2,Simple assault,,1,10H10,Restaurant,3400-3499,NAVIGATION,BLVD,
8/1/18,2,All other larceny,,1,20G30,Convenience Store,10400-10499,RICHMOND,AVE,
8/1/18,2,Driving under the influence,,1,OOJ,"Highway, Road, Street, Alley",7000-7099,LOOP,,W
8/1/18,2,Theft from motor vehicle,,1,10H40,"Highway, Road, Street, Alley",2300-2399,FANNIN,ST,
8/1/18,2,Driving under the influence,,1,4F20,"Highway, Road, Street, Alley",2400-2499,TEAGUE,RD,
8/1/18,2,"Drug, narcotic violations",,1,7C30,"Highway, Road, Street, Alley",3200-3299,CROSSTIMBERS,ST,E
8/1/18,2,Driving under the influence,,1,7C30,"Highway, Road, Street, Alley",3200-3299,CROSSTIMBERS,ST,E
8/1/18,2,Drug equipment violations,,1,3B10,"Service, Gas Station",3400-3499,ANTOINE,DR,
8/1/18,2,"Drug, narcotic violations",,1,3B10,"Service, Gas Station",3400-3499,ANTOINE,DR,
8/1/18,2,Simple assault,,2,18F20,"Hotel, Motel, ETC",1600-1699,LOOP,,W
8/1/18,2,Driving under the influence,,1,3B10,"Parking Lot, Garage",2400-2499,MANGUM,RD,
8/1/18,2,Robbery,,1,20G50,Restaurant,900-999,GESSNER,RD,
8/1/18,2,Simple assault,,1,6B30,"Residence, Home (Includes Apartment)",8000-8099,ANTOINE,DR,
8/1/18,2,Theft from motor vehicle,,1,19G40,"Parking Lot, Garage",12100-12199,HUNTINGTON PARK,DR,
8/1/18,2,"Destruction, damage, vandalism",,1,19G20,"Residence, Home (Includes Apartment)",11400-11499,CARVEL,LN,
8/1/18,2,Theft from motor vehicle,,1,10H70,"Highway, Road, Street, Alley",1800-1899,PROSPECT,,
8/1/18,2,Theft of motor vehicle parts or accessory,,1,19G40,"Parking Lot, Garage",10100-10199,SYNOTT,RD,
8/1/18,3,Driving under the influence,,1,18F30,"Highway, Road, Street, Alley",5600-5699,RICHMOND,AVE,
8/1/18,3,"Drug, narcotic violations",,1,18F30,"Highway, Road, Street, Alley",5600-5699,RICHMOND,AVE,
8/1/18,3,Shoplifting,,1,24C20,Convenience Store,2300-2399,NORTHPARK,DR,
8/1/18,3,"Drug, narcotic violations",,1,3B40,"Highway, Road, Street, Alley",1200-1299,WESTFIELD,,
8/1/18,3,Aggravated Assault,,1,11H10,"Drug Store, Doctors Office, Hospital",200-299,WAYSIDE,DR,S
8/1/18,3,"Burglary, Breaking and Entering",,1,11H10,"Drug Store, Doctors Office, Hospital",200-299,WAYSIDE,DR,S
8/1/18,3,Drug equipment violations,,1,9C40,"Highway, Road, Street, Alley",12800-12899,EAST,FWY,
8/1/18,3,Driving under the influence,,1,19G40,"Highway, Road, Street, Alley",12700-12799,DAIRY ASHFORD,RD,S
8/1/18,3,Aggravated Assault,,1,14D10,"Highway, Road, Street, Alley",5800-5899,MARTIN LUTHER KING,BLVD,
