Indicator Name,What Is This Indicator,Location Type,Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Indicator Count Value,Indicator Count Value Units,Count Lower Confidence Interval,Count Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Rate Value,Breakout Rate Value Units,Breakout Rate Lower Confidence Interval,Breakout Rate Upper Confidence Interval,Breakout Count Value,Breakout Count Value Units,Breakout Count Lower Confidence Interval,Breakout Count Upper Confidence Interval,Breakout Unstable,Breakout Footer
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,84855,dollars,73280,96430,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,98508,dollars,83332,113684,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,94583,dollars,83561,105605,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,82004,dollars,70620,93388,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,85833,dollars,69730,101936,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,78706,dollars,63445,93967,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,61944,dollars,36201,87687,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,74148,dollars,52144,96152,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201100000,56705,dollars,39280,74130,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210100,175714,dollars,172758,178670,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210100,171000,dollars,124130,217870,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210100,170000,dollars,46884,293116,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210100,161250,dollars,22348,300152,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210100,65521,dollars,6364,124678,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210100,122500,dollars,11312,233688,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,28933,dollars,23052,34814,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,24473,dollars,19247,29699,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,21462,dollars,15424,27500,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,23456,dollars,18777,28135,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,25337,dollars,22864,27810,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,26164,dollars,23116,29212,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,23807,dollars,20251,27363,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,23795,dollars,21052,26538,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210400,24345,dollars,20338,28352,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,36883,dollars,31942,41824,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,33426,dollars,28659,38193,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,30556,dollars,25572,35540,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,30996,dollars,29219,32773,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,30267,dollars,28225,32309,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,29056,dollars,26900,31212,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,28435,dollars,25737,31133,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,29229,dollars,26569,31889,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210500,27021,dollars,21061,32981,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,58969,dollars,44595,73343,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,51295,dollars,36515,66075,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,51113,dollars,46131,56095,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,48026,dollars,38058,57994,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,49151,dollars,46931,51371,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,49854,dollars,45438,54270,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,47977,dollars,44237,51717,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,45588,dollars,39461,51715,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210600,43006,dollars,34576,51436,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,40121,dollars,32595,47647,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,37076,dollars,32318,41834,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,28869,dollars,22368,35370,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,24458,dollars,20022,28894,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,23971,dollars,17578,30364,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,27024,dollars,18547,35501,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,24805,dollars,14888,34722,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,30991,dollars,23665,38317,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210700,31218,dollars,28218,34218,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,32882,dollars,26814,38950,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,30980,dollars,20622,41338,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,24113,dollars,17723,30503,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,21204,dollars,16391,26017,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,18946,dollars,16052,21840,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,19130,dollars,16098,22162,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,17379,dollars,9117,25641,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,20795,dollars,7576,34014,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210800,18977,dollars,10119,27835,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,29583,dollars,18871,40295,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,25625,dollars,12471,38779,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,27776,dollars,20708,34844,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,28174,dollars,24053,32295,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,29418,dollars,27340,31496,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,30729,dollars,23278,38180,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,29129,dollars,17582,40676,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,25637,dollars,17107,34167,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201210900,22043,dollars,7866,36220,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,34261,dollars,24244,44278,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,30952,dollars,25643,36261,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,30475,dollars,23556,37394,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,27007,dollars,22459,31555,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,25500,dollars,20339,30661,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,22386,dollars,15087,29685,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,21000,dollars,10799,31201,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,17102,dollars,5161,29043,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211000,13304,dollars,5367,21241,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,28475,dollars,25785,31165,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,22907,dollars,19399,26415,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,23632,dollars,19100,28164,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,19907,dollars,11352,28462,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,20966,dollars,13968,27964,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,16620,dollars,12957,20283,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,17355,dollars,13305,21405,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,18384,dollars,13544,23224,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211100,18073,dollars,12298,23848,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,28026,dollars,25489,30563,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,26621,dollars,21972,31270,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,22566,dollars,14247,30885,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,20169,dollars,15557,24781,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,19365,dollars,15595,23135,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,17219,dollars,13655,20783,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,18220,dollars,14073,22367,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,19680,dollars,15970,23390,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211200,19610,dollars,12016,27204,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,22190,dollars,18692,25688,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,20662,dollars,17781,23543,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,18570,dollars,15446,21694,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,16912,dollars,12549,21275,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,17523,dollars,13022,22024,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,17767,dollars,13137,22397,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,14341,dollars,10798,17884,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,14198,dollars,11586,16810,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211300,14731,dollars,8123,21339,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,29045,dollars,23871,34219,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,23025,dollars,17694,28356,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,28194,dollars,17582,38806,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,27125,dollars,16992,37258,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,25000,dollars,14283,35717,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,25972,dollars,11382,40562,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,28750,dollars,16745,40755,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,28060,dollars,16399,39721,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211400,34458,dollars,17897,51019,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,31250,dollars,25940,36560,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,33083,dollars,25267,40899,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,34018,dollars,23576,44460,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,36023,dollars,30680,41366,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,38580,dollars,33016,44144,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,37002,dollars,33029,40975,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,37267,dollars,33620,40914,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,35445,dollars,28485,42405,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211500,33864,dollars,29084,38644,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211600,30102,dollars,21969,38235,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211600,23650,dollars,17053,30247,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211600,23861,dollars,18141,29581,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211600,21075,dollars,17482,24668,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211600,28095,dollars,14376,41814,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201211600,32281,dollars,25963,38599,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
