Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
01/26/2018,10,Burglary,10H20,"Pawn, Resale Shop, or Flea Market",800-899,TELEPHONE,RD,-,1
01/27/2018,01,Burglary,10H20,"Pawn, Resale Shop, or Flea Market",800-899,TELEPHONE,RD,-,1
01/28/2018,17,Theft,10H20,Apartment Parking Lot,1900-1999,CULLEN BLVD,BLVD,-,1
01/29/2018,13,Burglary,10H20,Apartment,5000-5099,PEASE,ST,-,1
01/30/2018,11,Theft,10H20,Apartment Parking Lot,1900-1999,CULLEN BLVD,BLVD,-,1
01/31/2018,13,Aggravated Assault,10H20,"Road, Street, or Sidewalk",4400-4499,POLK,-,-,1
01/31/2018,22,Aggravated Assault,10H20,Residence or House,2200-2299,STONECREST DRIVE,-,-,1
01/01/2018,17,Theft,10H30,Bar or Night Club Parking Lot,10100-10199,KIRKWREN,DR,-,1
01/01/2018,12,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,SAINT EMANUEL ST,ST,-,1
01/01/2018,11,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL ST,ST,-,1
01/02/2018,07,Burglary,10H30,Warehouse,1500-1599,CHARTRES,ST,-,1
01/05/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1300-1399,NAGLE,-,-,1
01/05/2018,10,Theft,10H30,"Other, Unknown, or Not Listed",1400-1499,ENNIS ST,ST,-,1
01/06/2018,02,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,HUTCHINS ST,ST,-,1
01/06/2018,06,Theft,10H30,Other Parking Lot,3400-3499,LEELAND,-,-,1
01/06/2018,11,Theft,10H30,Bar or Night Club Parking Lot,2200-2299,CLAY ST,ST,-,1
01/06/2018,15,Theft,10H30,Restaurant or Cafeteria Parking Lot,1500-1599,HUTCHINS ST,ST,-,1
01/06/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,HUTCHINS ST,ST,-,1
01/07/2018,16,Theft,10H30,Apartment Parking Lot,2200-2299,MCKINNEY ST,ST,-,1
01/07/2018,10,Theft,10H30,Apartment Parking Lot,2000-2099,TEXAS ST,ST,-,1
01/07/2018,08,Theft,10H30,Apartment Parking Lot,2200-2299,MCKINNEY ST,ST,-,1
01/07/2018,08,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS ST,ST,-,1
01/09/2018,16,Theft,10H30,"Road, Street, or Sidewalk",1900-1999,COMMERCE ST,ST,-,1
01/10/2018,18,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE ST,ST,-,1
01/12/2018,19,Aggravated Assault,10H30,"Road, Street, or Sidewalk",1900-1999,COMMERCE ST,ST,-,1
01/13/2018,02,Theft,10H30,"Road, Street, or Sidewalk",100-199,FIRST,ST,-,1
01/13/2018,09,Robbery,10H30,Commercial Building,2900-2999,FULTON ST APT 208,-,-,1
01/13/2018,15,Theft,10H30,Commercial Parking Lot or Garage,1100-1199,HUTCHINS ST,ST,-,1
01/13/2018,23,Burglary,10H30,Residence or House,2100-2199,TEXAS ST,ST,-,1
01/14/2018,00,Theft,10H30,"Road, Street, or Sidewalk",23300-23399,TIRINO SHORES,DR,-,1
01/14/2018,13,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LAMAR,-,-,1
01/14/2018,14,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,LEELAND,-,-,1
01/15/2018,08,Theft,10H30,"Road, Street, or Sidewalk",900-999,BASTROP ST,ST,-,1
01/15/2018,15,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,PEASE ST,ST,-,1
01/16/2018,02,Robbery,10H30,Apartment Parking Lot,2400-2499,CAPITOL ST,ST,-,1
01/16/2018,09,Theft,10H30,Other Parking Lot,2100-2199,DALLAS ST,ST,-,1
01/17/2018,14,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,SAINT EMANUEL ST,ST,-,1
01/18/2018,20,Theft,10H30,Restaurant or Cafeteria Parking Lot,2100-2199,JEFFERSON ST,ST,-,1
01/19/2018,01,Aggravated Assault,10H30,Bar or Night Club,800-899,SAINT EMANUEL ST,ST,-,2
01/19/2018,08,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE ST,ST,-,1
01/19/2018,17,Theft,10H30,"Field, Woods, Forest, Park",2600-2699,POLK,-,-,1
01/20/2018,01,Theft,10H30,"Road, Street, or Sidewalk",7800-7899,AVE C,-,-,1
01/21/2018,10,Theft,10H30,Bar or Night Club,2100-2199,LAMAR,-,-,1
01/21/2018,14,Aggravated Assault,10H30,Residence or House,2200-2299,JEFFERSON ST,ST,-,1
01/22/2018,11,Burglary,10H30,Apartment Rental Office,2400-2499,CAPITOL,ST,-,1
01/22/2018,22,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,BASTROP ST,ST,-,1
01/22/2018,23,Theft,10H30,Restaurant or Cafeteria Parking Lot,5900-5999,GRAND COLONY,DR,-,1
01/24/2018,12,Theft,10H30,Residence or House,1800-1899,SHEARN,ST,-,1
01/24/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,LOOP,-,W,1
01/25/2018,08,Theft,10H30,"Road, Street, or Sidewalk",2800-2899,POLK,-,-,1
01/25/2018,09,Theft,10H30,"Road, Street, or Sidewalk",1200-1299,PAIGE,-,-,1
01/25/2018,21,Theft,10H30,Driveway,3000-3099,DALLAS STREET,-,-,1
01/26/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS ST,ST,-,1
01/27/2018,01,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,HUTCHINS ST,ST,-,1
01/27/2018,11,Theft,10H30,"Other, Unknown, or Not Listed",2200-2299,MCKINNEY,ST,-,1
01/28/2018,16,Theft,10H30,Other Parking Lot,2300-2399,DALLAS ST,ST,-,1
01/28/2018,01,Aggravated Assault,10H30,Bar or Night Club,1500-1599,SAINT EMANUEL ST,ST,-,1
01/29/2018,06,Theft,10H30,Driveway,1600-1699,NAGLE,-,-,1
01/30/2018,09,Burglary,10H30,Miscellaneous Business (Non-Specific),2800-2899,GULF FWY IB,-,-,1
01/30/2018,15,Theft,10H30,Commercial Parking Lot or Garage,600-699,HIDDEN VALLEY DRIVE,-,-,1
01/31/2018,10,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,LEELAND,-,-,1
01/01/2018,15,Theft,10H40,Bar or Night Club,2300-2399,MAIN ST,ST,-,1
01/01/2018,11,Robbery,10H40,"Road, Street, or Sidewalk",3200-3299,OKLAHOMA,ST,-,1
01/01/2018,06,Robbery,10H40,"Road, Street, or Sidewalk",8700-8799,BROADWAY,ST,-,1
01/01/2018,01,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,ENCLAVE PKWY APT,-,-,1
01/02/2018,00,Burglary,10H40,Bar or Night Club,4600-4699,HOWARD LANE - SUITE 200,-,W,1
01/02/2018,21,Robbery,10H40,"Road, Street, or Sidewalk",1800-1899,VALENTINE ST. APT 2141,-,-,1
01/06/2018,18,Theft,10H40,Restaurant or Cafeteria,3400-3499,DALLAS,-,-,1
01/06/2018,20,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,TUAM APT A,-,-,1
01/06/2018,15,Theft,10H40,"Other, Unknown, or Not Listed",2400-2499,MILAM,-,-,1
01/06/2018,14,Aggravated Assault,10H40,Rental Storage Facility,4000-4099,SPRAYBERRY,LN,-,1
01/06/2018,11,Robbery,10H40,"Road, Street, or Sidewalk",6300-6399,BELFORT APT 545,-,W,1
01/06/2018,13,Aggravated Assault,10H40,"Road, Street, or Sidewalk",6300-6399,BELFORT APT 545,-,W,1
01/06/2018,06,Theft,10H40,Strip Business Center Parking Lot,2600-2699,LOUISIANA ST,ST,-,1
01/06/2018,05,Robbery,10H40,"Road, Street, or Sidewalk",6900-6999,KERNEL,-,-,1
01/06/2018,07,Theft,10H40,Garage or Carport,1600-1699,HOLMAN,-,-,1
01/07/2018,01,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,FANNIN ST,ST,-,1
01/07/2018,02,Theft,10H40,"Road, Street, or Sidewalk",7800-7899,BREEZWAY,ST,-,1
01/07/2018,10,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA ST,ST,-,1
01/07/2018,15,Theft,10H40,Department or Discount Store,1700-1799,BREWSTER,ST,-,1
01/07/2018,15,Theft,10H40,Miscellaneous Business (Non-Specific),3200-3299,LOUISIANA ST,ST,-,1
01/07/2018,15,Robbery,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST,-,1
01/07/2018,17,AutoTheft,10H40,Grocery Store or Supermarket Parking Lot,1600-1699,HOLMAN,-,-,1
01/07/2018,17,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
01/08/2018,02,Theft,10H40,Commercial Parking Lot or Garage,6100-6199,GLENMONT,DR,-,1
01/08/2018,17,Theft,10H40,Other Parking Lot,1500-1599,HADLEY ST,ST,-,1
01/08/2018,17,Theft,10H40,Residence or House,1500-1599,ISABELLA,-,-,1
01/08/2018,11,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-,-,1
01/09/2018,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,HOMELESS,-,-,1
01/09/2018,23,Theft,10H40,"Road, Street, or Sidewalk",700-799,ROSALIE,-,-,1
01/10/2018,06,Burglary,10H40,Miscellaneous Business (Non-Specific),1100-1199,HOLMAN,-,-,1
01/10/2018,09,Theft,10H40,Apartment Parking Lot,3500-3599,CHENEVERT ST,ST,-,1
01/10/2018,18,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2400-2499,TRUXILLO 1,-,-,1
01/10/2018,19,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3700-3799,DELANO,-,-,1
01/10/2018,23,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,CARRIZO SPRINGS,DR,-,1
01/11/2018,02,Theft,10H40,Bar or Night Club Parking Lot,2600-2699,TRAVIS ST,ST,-,1
01/11/2018,08,Theft,10H40,Miscellaneous Business (Non-Specific),1500-1599,TRUXILLO,-,-,1
01/11/2018,09,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,ROSALIE,-,-,1
01/11/2018,14,Theft,10H40,Bank or Savings Institution Parking Lot,5400-5499,MADDEN,LN,-,1
01/12/2018,07,Theft,10H40,Apartment Parking Lot,4000-4099,FANNIN ST,ST,-,1
01/12/2018,08,Theft,10H40,"Road, Street, or Sidewalk",2800-2899,CAROLINE ST,ST,-,1
01/12/2018,23,Theft,10H40,"Road, Street, or Sidewalk",1800-1899,STONEY BROOK DR.,-,-,1
01/12/2018,19,AutoTheft,10H40,"Road, Street, or Sidewalk",4300-4399,LA BRANCH,-,-,1
01/12/2018,20,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,TRAVIS ST,ST,-,1
01/12/2018,22,Theft,10H40,Other Parking Lot,9600-9699,WAKEFIELD VILLAGE,DR,-,1
01/13/2018,08,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,CAROLINE ST,ST,-,1
01/13/2018,11,Theft,10H40,Apartment Parking Lot,2900-2999,MILAM,-,-,1
01/13/2018,18,Theft,10H40,Restaurant or Cafeteria Parking Lot,1400-1499,GRAY ST,ST,-,1
01/14/2018,09,Theft,10H40,Apartment Parking Lot,1600-1699,ELGIN ST,ST,-,1
01/14/2018,06,Theft,10H40,Restaurant or Cafeteria Parking Lot,400-499,RICHMOND,AVE,-,1
01/14/2018,14,Theft,10H40,Department or Discount Store,4200-4299,MAIN ST,ST,-,1
01/15/2018,02,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,FANNIN ST,ST,-,1
01/15/2018,12,Theft,10H40,Bar or Night Club,2300-2399,MAIN ST,ST,-,1
01/15/2018,13,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,BERRY ST,ST,-,1
01/15/2018,21,Theft,10H40,Driveway,3100-3199,HAMILTON ST,ST,-,1
01/15/2018,18,Theft,10H40,Restaurant or Cafeteria,4000-4099,UNDERWOOD,RD,-,1
01/15/2018,18,Theft,10H40,"Road, Street, or Sidewalk",7700-7799,SAN BRUNO,-,-,1
01/16/2018,09,Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,ALMEDA RD,RD,-,1
01/16/2018,18,Burglary,10H40,Apartment,2500-2599,LOUISIANA,ST,-,1
01/16/2018,20,Theft,10H40,Commercial Parking Lot or Garage,2300-2399,BASTROP,ST,-,1
01/17/2018,17,Theft,10H40,Driveway,2900-2999,JACKSON,ST,-,1
01/17/2018,12,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN,ST,-,1
01/17/2018,22,Robbery,10H40,Service or Gas Station,2100-2199,FANNIN ST,ST,-,1
01/18/2018,11,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN ST,ST,-,1
