Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
04/01/2018,00,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,BELL,ST,-,1
04/02/2018,14,Theft,10H30,Miscellaneous Business (Non-Specific),2100-2199,LAMAR,-,-,1
04/02/2018,20,Theft,10H30,Other Parking Lot,500-599,EMANCIPATION,AVE,-,1
04/02/2018,21,Theft,10H30,Bar or Night Club Parking Lot,1200-1299,HUTCHINS,ST,-,1
04/02/2018,21,Theft,10H30,Commercial Parking Lot or Garage,2400-2499,PRAIRIE,ST,-,1
04/02/2018,21,Theft,10H30,Other Parking Lot,1200-1299,HUTCHINS,ST,-,1
04/02/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL,ST,-,1
04/02/2018,23,Theft,10H30,Commercial Parking Lot or Garage,900-999,SAINT EMANUEL,ST,-,1
04/03/2018,22,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,CONGRESS,-,-,1
04/03/2018,09,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,POLK,-,-,1
04/04/2018,06,Theft,10H30,Other Parking Lot,800-899,EMANCIPATION,AVE,-,1
04/05/2018,22,AutoTheft,10H30,Commercial Building,3400-3499,LEELAND,-,-,1
04/06/2018,00,Theft,10H30,Other Parking Lot,1400-1499,HUTCHINS,ST,-,1
04/06/2018,23,Theft,10H30,Other Parking Lot,300-399,BASTROP,ST,-,1
04/06/2018,23,AutoTheft,10H30,"Road, Street, or Sidewalk",2100-2199,WALKER,ST,-,1
04/06/2018,11,Theft,10H30,Other Parking Lot,2100-2199,POLK,-,-,1
04/07/2018,02,Theft,10H30,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL,ST,-,1
04/08/2018,18,Aggravated Assault,10H30,"Road, Street, or Sidewalk",1200-1299,EMANCIPATION,AVE,-,1
04/08/2018,20,Theft,10H30,Other Parking Lot,2100-2199,DALLAS,ST,-,1
04/08/2018,20,Theft,10H30,Restaurant or Cafeteria Parking Lot,2700-2799,POLK,-,-,1
04/08/2018,21,Theft,10H30,Restaurant or Cafeteria Parking Lot,2100-2199,LAMAR,-,-,1
04/08/2018,02,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-,-,1
04/08/2018,07,Theft,10H30,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL,ST,-,1
04/09/2018,07,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,RUSK,ST,-,1
04/09/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS,ST,-,1
04/10/2018,11,Theft,10H30,Service or Gas Station,3500-3599,GULF,FWY,-,1
04/10/2018,01,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE,ST,-,1
04/11/2018,23,Theft,10H30,Other Parking Lot,2400-2499,LAMAR,-,-,1
04/12/2018,16,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE,ST,-,1
04/13/2018,16,Burglary,10H30,Apartment,2400-2499,CAPITOL,ST,-,1
04/14/2018,08,Theft,10H30,Bar or Night Club Parking Lot,1300-1399,SAINT EMANUEL,ST,-,1
04/15/2018,09,Burglary,10H30,Restaurant or Cafeteria,2100-2199,JEFFERSON,ST,-,1
04/16/2018,01,Burglary,10H30,Residence or House,900-999,MCKINNEY PARK,LN,-,1
04/16/2018,17,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,HUTCHINS,ST,-,1
04/17/2018,22,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,HUTCHINS,ST,-,1
04/17/2018,17,Theft,10H30,Warehouse,2200-2299,MCKINNEY,ST,-,1
04/18/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS,ST,-,1
04/18/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,MCKINNEY,ST,-,2
04/18/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,DALLAS,ST,-,1
04/18/2018,22,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
04/19/2018,01,Theft,10H30,Other Parking Lot,1200-1299,SAINT EMANUEL,ST,-,1
04/19/2018,16,Theft,10H30,Light Rail Platform,2400-2499,TEXAS,ST,-,1
04/19/2018,22,Theft,10H30,Other Parking Lot,2200-2299,DALLAS,ST,-,1
04/19/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,MCKINNEY,ST,-,1
04/20/2018,09,Theft,10H30,Residence or House,1400-1499,SAINT EMANUEL,ST,-,1
04/20/2018,10,Theft,10H30,Driveway,3200-3299,LAMAR,-,-,1
04/20/2018,12,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,JEFFERSON,ST,-,1
04/21/2018,13,Theft,10H30,Bar or Night Club,2000-2099,WALKER,ST,-,1
04/22/2018,07,Theft,10H30,Commercial Building,2000-2099,CONGRESS,-,-,1
04/22/2018,17,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,WALKER,ST,-,1
04/23/2018,08,Theft,10H30,Apartment Parking Lot,1300-1399,LIVE OAK,-,-,1
04/23/2018,08,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,NAGLE,-,-,1
04/23/2018,09,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,HUTCHINS,ST,-,1
04/23/2018,09,Theft,10H30,"Road, Street, or Sidewalk",2800-2899,LEELAND,-,-,1
04/23/2018,10,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,LEELAND,-,-,1
04/23/2018,11,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,PAIGE,-,-,1
04/24/2018,23,Theft,10H30,Other Parking Lot,400-499,EMANCIPATION,AVE,-,1
04/24/2018,23,Theft,10H30,Other Parking Lot,2200-2299,PRESTON,ST,-,1
04/24/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,WALKER,ST,-,1
04/25/2018,13,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,LAMAR,-,-,1
04/25/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,2
04/26/2018,09,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
04/27/2018,22,Theft,10H30,Other Parking Lot,900-999,SAINT EMANUEL,ST,-,1
04/27/2018,23,Theft,10H30,Other Parking Lot,2200-2299,PRESTON,ST,-,1
04/27/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1300-1399,HUTCHINS,ST,-,1
04/28/2018,19,Aggravated Assault,10H30,Residence or House,3700-3799,DENVER,ST,-,1
04/29/2018,18,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,DALLAS,ST,-,1
04/29/2018,20,Theft,10H30,Other Parking Lot,2000-2099,BELL,ST,-,1
04/01/2018,15,Rape,10H40,Other Parking Lot,1500-1599,ALABAMA,ST,-,1
04/01/2018,11,Theft,10H40,Driveway,1600-1699,FRANCIS,ST,-,1
04/02/2018,20,Theft,10H40,"Road, Street, or Sidewalk",2900-2999,MILAM,-,-,1
04/02/2018,16,Theft,10H40,Other Parking Lot,1500-1599,HADLEY,ST,-,1
04/02/2018,08,Theft,10H40,"Road, Street, or Sidewalk",900-999,MCGOWEN,ST,-,1
04/03/2018,12,Theft,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
04/03/2018,22,Theft,10H40,Apartment,2300-2399,LOUISIANA,ST,-,1
04/04/2018,21,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-,-,1
04/04/2018,21,Theft,10H40,Specialty Store (Non-Specific),2200-2299,FANNIN,ST,-,1
04/05/2018,21,Theft,10H40,Commercial Parking Lot or Garage,3000-3099,TRAVIS,ST,-,1
04/05/2018,22,Theft,10H40,"Road, Street, or Sidewalk",900-999,FRANCIS,ST,-,1
04/05/2018,20,Theft,10H40,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-,-,1
04/05/2018,08,Aggravated Assault,10H40,Miscellaneous Business (Non-Specific),2600-2699,LOUISIANA,ST,-,1
04/05/2018,08,Theft,10H40,"Parks and Recreation, Zoo, Swimming Pool",1700-1799,ELGIN,ST,-,1
04/05/2018,15,AutoTheft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2000-2099,MILAM,-,-,1
04/06/2018,16,AutoTheft,10H40,Auto Repair,3700-3799,MAIN,ST,-,1
04/06/2018,17,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,FANNIN,ST,-,1
04/07/2018,03,Theft,10H40,Commercial Parking Lot or Garage,2900-2999,TRAVIS,ST,-,1
04/07/2018,13,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,CAROLINE,ST,-,1
04/07/2018,15,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4000-4099,FANNIN,ST,-,1
04/08/2018,05,Theft,10H40,Other Parking Lot,2100-2199,FANNIN,ST,-,1
04/08/2018,03,Burglary,10H40,Residence or House,2700-2799,CRAWFORD,RD,-,1
04/08/2018,08,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1600-1699,CLEBURNE,ST,-,1
04/08/2018,08,Theft,10H40,"Road, Street, or Sidewalk",800-899,HADLEY,ST,-,1
04/08/2018,09,Theft,10H40,"Road, Street, or Sidewalk",4000-4099,CRAWFORD,RD,-,1
04/08/2018,10,Rape,10H40,"Road, Street, or Sidewalk",1000-1099,GRAY,ST,-,1
04/08/2018,01,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,TRAVIS,ST,-,1
04/08/2018,20,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,FANNIN,ST,-,1
04/08/2018,17,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,BERRY,ST,-,1
04/08/2018,14,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE,ST,-,1
