Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
03/01/2018,14,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST,-,1
03/01/2018,21,Theft,10H30,Other Parking Lot,2100-2199,COMMERCE ST,ST,-,1
03/02/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,DALLAS ST,ST,-,1
03/03/2018,00,Theft,10H30,Bar or Night Club Parking Lot,2200-2299,PRESTON ST,ST,-,1
03/03/2018,01,Theft,10H30,"Road, Street, or Sidewalk",1400-1499,HUTCHINS ST,ST,-,1
03/03/2018,13,Burglary,10H30,Residence or House,3000-3099,DALLAS ST,ST,-,1
03/03/2018,12,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,COMMERCE ST,ST,-,1
03/03/2018,09,Theft,10H30,Bar or Night Club,1500-1599,SAINT EMANUEL ST,ST,-,1
03/03/2018,19,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
03/04/2018,08,Theft,10H30,Restaurant or Cafeteria,2000-2099,JEFFERSON ST,ST,-,1
03/04/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
03/04/2018,11,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,CAPITOL ST,ST,-,1
03/04/2018,12,Theft,10H30,"Stadium, Sports Arena, Race Track",2400-2499,CAPITOL ST APT 1216,-,-,1
03/05/2018,00,Theft,10H30,Commercial Parking Lot or Garage,600-699,SAINT EMANUEL,ST,-,1
03/05/2018,15,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
03/05/2018,23,Theft,10H30,Commercial Parking Lot or Garage,700-799,CHARTRES ST,ST,-,1
03/05/2018,23,Theft,10H30,"Road, Street, or Sidewalk",6000-6099,LYNWOOD BANKS,LN,-,1
03/06/2018,00,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,BELL ST,ST,-,1
03/06/2018,00,Theft,10H30,"Road, Street, or Sidewalk",8900-8999,DAWN RIDGE,DR,-,1
03/06/2018,13,Burglary,10H30,Residence or House,700-799,LIVE OAK,-,-,1
03/06/2018,22,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,SAINT EMANUEL ST,ST,-,1
03/06/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,BASTROP ST,ST,-,1
03/08/2018,21,Theft,10H30,Restaurant or Cafeteria Parking Lot,2200-2299,HIDDEN CREEK,-,-,1
03/09/2018,13,Theft,10H30,Other Parking Lot,2100-2199,LAMAR,-,-,1
03/09/2018,14,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,JEFFERSON ST,ST,-,1
03/10/2018,07,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS ST,ST,-,1
03/10/2018,01,Theft,10H30,"Road, Street, or Sidewalk",200-299,RIVEREDGE,DR,-,1
03/10/2018,02,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,BASTROP ST,ST,-,1
03/10/2018,06,Burglary,10H30,"Gym, Recreat, Club House, Indoor Pool",2900-2999,GULF,FWY,-,1
03/11/2018,03,Aggravated Assault,10H30,Bar or Night Club Parking Lot,14100-14199,DEL PAPA,ST,-,3
03/12/2018,07,Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST,-,1
03/12/2018,18,AutoTheft,10H30,"Road, Street, or Sidewalk",8300-8399,CHARLESMONT,-,-,1
03/16/2018,17,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE ST,ST,-,1
03/16/2018,09,Theft,10H30,Driveway,1800-1899,SHEARN,ST,-,1
03/17/2018,01,Theft,10H30,"Road, Street, or Sidewalk",3800-3899,SOUTHMORE,BLVD,-,1
03/17/2018,03,Theft,10H30,"Road, Street, or Sidewalk",3600-3699,CLIPPER WINDS,WAY,-,1
03/17/2018,14,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL ST,ST,-,1
03/18/2018,01,Robbery,10H30,Other Parking Lot,2000-2099,RAINY RIVER,-,-,1
03/18/2018,17,AutoTheft,10H30,"Road, Street, or Sidewalk",2700-2799,LEELAND,-,-,1
03/19/2018,02,Burglary,10H30,Commercial Building,2800-2899,GULF,FWY,-,1
03/19/2018,07,Theft,10H30,Other Parking Lot,600-699,WALKER,ST,-,1
03/19/2018,10,Rape,10H30,Apartment,2200-2299,JEFFERSON ST,ST,-,1
03/19/2018,10,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,CAPITOL ST,ST,-,1
03/20/2018,19,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,BRITT,LN,-,1
03/21/2018,20,Theft,10H30,Apartment,2200-2299,JEFFERSON ST,ST,-,1
03/22/2018,00,Theft,10H30,"Road, Street, or Sidewalk",900-999,BASTROP ST,ST,-,1
03/22/2018,18,Theft,10H30,Miscellaneous Business (Non-Specific),900-999,SAINT CHARLES,ST,-,1
03/23/2018,06,Burglary,10H30,Restaurant or Cafeteria,1500-1599,EMANCIPATION,AVE,-,1
03/23/2018,20,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2200-2299,POLK,-,-,1
03/24/2018,19,AutoTheft,10H30,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS ST,ST,-,1
03/25/2018,09,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,PRESTON ST,ST,-,1
03/25/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,MCKINNEY ST,ST,-,1
03/25/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2500-2599,CAPITOL ST,ST,-,1
03/25/2018,18,Theft,10H30,"Road, Street, or Sidewalk",2600-2699,MCKINNEY ST,ST,-,1
03/25/2018,13,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,DALLAS ST,ST,-,1
03/26/2018,01,Aggravated Assault,10H30,"Road, Street, or Sidewalk",300-399,SAINT EMANUEL ST,ST,-,1
03/26/2018,10,Theft,10H30,"Road, Street, or Sidewalk",2600-2699,MCKINNEY ST,ST,-,1
03/27/2018,23,Theft,10H30,"Road, Street, or Sidewalk",11500-11599,HUEBNER,RD,-,1
03/27/2018,22,Theft,10H30,Other Parking Lot,9700-9799,COURT GLEN,DR,-,1
03/27/2018,22,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,ROSEWOOD,-,-,1
03/28/2018,11,Theft,10H30,Other Parking Lot,11400-11499,WESTHEIMER,-,-,1
03/29/2018,19,AutoTheft,10H30,Commercial Parking Lot or Garage,2300-2399,MCKINNEY ST,ST,-,1
03/30/2018,11,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,TEXAS ST,ST,-,1
03/30/2018,17,Theft,10H30,"Road, Street, or Sidewalk",300-399,SAINT EMANUEL ST,ST,-,1
03/30/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,DALLAS ST,ST,-,1
03/30/2018,21,Theft,10H30,Other Parking Lot,5100-5199,HOMER,ST,-,1
03/30/2018,22,Theft,10H30,Bar or Night Club Parking Lot,15100-15199,GULF,FWY,-,1
03/30/2018,22,Theft,10H30,Commercial Parking Lot or Garage,500-599,BASTROP ST,ST,-,1
03/30/2018,23,Theft,10H30,Commercial Parking Lot or Garage,1500-1599,HUTCHINS ST,ST,-,1
03/31/2018,07,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST,-,1
03/01/2018,22,Theft,10H40,"Church, Synagogue, or Temple Parking Lot",900-999,BERRY ST,ST,-,1
03/01/2018,15,Theft,10H40,Apartment,3600-3699,CHENEVERT,-,-,1
03/01/2018,11,Theft,10H40,Grocery Store or Supermarket,2200-2299,34TH ST 27,-,W,1
03/02/2018,20,Theft,10H40,"Road, Street, or Sidewalk",3800-3899,AUSTIN ST,ST,-,1
03/02/2018,10,Theft,10H40,Apartment,2300-2399,MAIN,-,-,1
03/02/2018,10,Theft,10H40,Apartment,3600-3699,CHENEVERT,-,-,1
03/03/2018,12,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,DREW ST,ST,-,1
03/03/2018,15,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,MILAM,-,-,1
03/03/2018,16,Theft,10H40,"Road, Street, or Sidewalk",800-899,FRANCIS ST,ST,-,1
03/03/2018,16,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-,-,1
03/04/2018,09,Aggravated Assault,10H40,"Road, Street, or Sidewalk",900-999,ROSEWOOD ST,ST,-,1
03/04/2018,09,AutoTheft,10H40,"Road, Street, or Sidewalk",2300-2399,JACKSON ST,ST,-,1
03/04/2018,22,Aggravated Assault,10H40,Grocery Store or Supermarket Parking Lot,2600-2699,PARKER,RD,-,1
03/04/2018,11,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN ST,ST,-,1
03/04/2018,16,Theft,10H40,"Other, Unknown, or Not Listed",2900-2999,HAMILTON ST,ST,-,1
03/04/2018,19,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,TUAM,-,-,1
03/05/2018,02,Theft,10H40,Bus Station,11400-11499,LBJ FRWY,-,-,1
03/05/2018,07,Robbery,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA ST,ST,-,1
03/05/2018,09,Theft,10H40,Apartment Parking Lot,3600-3699,CHENEVERT,ST,-,1
03/05/2018,10,Burglary,10H40,Residence or House,1700-1799,ELGIN STREET,-,-,1
03/05/2018,21,Theft,10H40,"Road, Street, or Sidewalk",12100-12199,MEADOW PLACE,DR,-,1
03/05/2018,14,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST,-,1
03/06/2018,07,AutoTheft,10H40,"Road, Street, or Sidewalk",3900-3999,SAN JACINTO ST,ST,-,1
03/06/2018,10,Theft,10H40,Auto Repair,2200-2299,MAIN,ST,-,1
03/06/2018,22,Theft,10H40,"Road, Street, or Sidewalk",13300-13399,BUTTERFLY LN.,-,-,1
03/06/2018,19,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,HADLEY ST,ST,-,1
03/07/2018,11,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO ST,ST,-,1
03/07/2018,10,Aggravated Assault,10H40,"Road, Street, or Sidewalk",12200-12299,GREENMESA,DR,-,1
03/07/2018,07,Burglary,10H40,Construction Site,2700-2799,TRAVIS ST,ST,-,1
03/07/2018,16,AutoTheft,10H40,Other Parking Lot,2400-2499,SAKOWITZ,ST,-,1
03/07/2018,19,Theft,10H40,Other Parking Lot,3500-3599,MAIN ST,ST,-,1
03/08/2018,04,Theft,10H40,"Road, Street, or Sidewalk",6200-6299,ALDER 3946,-,-,1
03/08/2018,12,Theft,10H40,Apartment Parking Lot,2300-2399,LOUISIANA ST,ST,-,1
03/08/2018,06,Theft,10H40,Commercial Parking Lot or Garage,2400-2499,MILAM ST. APT 10105,-,-,1
03/08/2018,09,Theft,10H40,Apartment Parking Lot,2300-2399,LOUISIANA ST,ST,-,1
03/08/2018,11,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,DENNIS ST,ST,-,1
03/08/2018,21,Theft,10H40,Grocery Store or Supermarket Parking Lot,3200-3299,MILAM,-,-,1
03/08/2018,21,Theft,10H40,"Road, Street, or Sidewalk",4500-4599,CREDO,LN,-,1
03/08/2018,22,Theft,10H40,"Road, Street, or Sidewalk",800-899,HOLMAN,-,-,1
03/08/2018,18,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-,-,1
03/09/2018,03,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1500-1599,ALABAMA ST,ST,-,1
03/09/2018,10,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN ST,ST,-,1
03/09/2018,10,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ALABAMA ST,ST,-,1
03/09/2018,21,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO ST,ST,-,1
03/10/2018,02,AutoTheft,10H40,"Road, Street, or Sidewalk",13100-13199,REMME RIDGE,-,-,1
03/10/2018,08,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,TRAVIS ST,ST,-,1
03/10/2018,13,Theft,10H40,Grocery Store or Supermarket,4500-4599,TRAVIS,-,-,1
03/11/2018,11,Rape,10H40,"Road, Street, or Sidewalk",6700-6799,BERTNER,AVE,-,1
03/11/2018,09,Theft,10H40,Apartment,4600-4699,MAIN ST,ST,-,1
03/13/2018,03,Theft,10H40,Other Parking Lot,200-299,HOUSTON,ST,N,1
03/13/2018,13,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,MAIN ST,ST,-,1
03/14/2018,06,Theft,10H40,Commercial Parking Lot or Garage,2300-2399,MAIN ST,ST,-,1
03/14/2018,17,Robbery,10H40,Convenience Store Parking Lot,1000-1099,ELGIN ST,ST,-,1
03/14/2018,17,Theft,10H40,"Other, Unknown, or Not Listed",1100-1199,MCILHENNY ST,ST,-,1
03/15/2018,03,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,ST,-,1
03/15/2018,08,Theft,10H40,Commercial Parking Lot or Garage,2700-2799,TRAVIS ST,ST,-,1
03/15/2018,08,Theft,10H40,Residence or House,2700-2799,TRAVIS ST,ST,-,1
03/15/2018,09,Burglary,10H40,Restaurant or Cafeteria Parking Lot,2900-2999,TRAVIS,ST,-,1
03/15/2018,11,Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST,-,1
03/15/2018,15,Theft,10H40,Commercial Parking Lot or Garage,11900-11999,HALLOWED STREAM,LN,-,1
03/15/2018,17,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,MCILHENNY ST,ST,-,1
03/15/2018,18,Theft,10H40,Other Parking Lot,2700-2799,TRAVIS ST,ST,-,1
03/15/2018,20,AutoTheft,10H40,"Road, Street, or Sidewalk",2200-2299,CHENEVERT ST,ST,-,1
03/16/2018,09,Theft,10H40,Apartment Parking Lot,1600-1699,HOLMAN,-,-,1
