iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8
29	0.4986170199	1.308422023	0	0.4421554707	0.280561845	0.004887752202	0	0	0	0.667234493	0
30	0.4985395902	1.308264563	0	0.4422203572	0.2807151008	0.004887752202	0	0	0	0.6671105744	0
31	0.4990772963	1.307440037	0	0.4430884106	0.2790922649	0.005114217525	0	0	0	0.6674816929	0
32	0.4991418211	1.307111395	0	0.4431046886	0.281265012	0.005000852418	0	0	0	0.6680641286	0
33	0.4995633826	1.306370159	0	0.4427297937	0.2808370486	0.005114217525	0	0	0	0.6686795075	0
34	0.4998128783	1.306069008	0	0.4429877306	0.2809745151	0.005114217525	0	0	0	0.6687815477	0
35	0.4998171799	1.305808252	0	0.4432535765	0.2811592461	0.005114217525	0	0	0	0.6690225352	0
36	0.4998946096	1.305243399	0	0.4436113224	0.2800505608	0.004547780115	0	0	0	0.6689623811	0
37	0.4999118162	1.305116665	0	0.4436689305	0.2802069961	0.004547780115	0	0	0	0.6689709348	0
38	0.4999763409	1.304814125	0	0.4436590404	0.2824554044	0.004547521601	0	0	0	0.6687891505	0
39	0.5001871217	1.304216659	0	0.4439968723	0.2868121856	0.004774626272	0	0	0	0.6681093403	0
40	0.5002731547	1.3040277	0	0.4444881456	0.287574714	0.004774626272	0	0	0	0.6683996589	0
41	0.5005441586	1.303544159	0	0.4448397736	0.2878769865	0.004774626272	0	0	0	0.6684978882	0
42	0.5008581789	1.303212131	0	0.444844332	0.2898819628	0.004774083546	0	0	0	0.6691972352	0
43	0.5008538773	1.303140233	0	0.44500106	0.2903047747	0.004774083546	0	0	0	0.6692100036	0
44	0.5008237657	1.303037575	0	0.4451031595	0.2903550098	0.004774083546	0	0	0	0.6692477509	0
45	0.5010603564	1.302683905	0	0.4452709966	0.2912996354	0.004887474426	0	0	0	0.6693548722	0
46	0.5012711372	1.302462175	0	0.4452705039	0.2932112111	0.007934258997	0	0	0	0.6692994392	0
47	0.501322757	1.302092789	0	0.4452631165	0.2934885184	0.008156329652	0	0	0	0.6691396196	0
48	0.5015034263	1.301868522	0	0.4451632292	0.2935196452	0.008269143634	0	0	0	0.6691235167	0
49	0.5013700751	1.301676561	0	0.4453580965	0.2940103196	0.008268675313	0	0	0	0.6691676339	0
50	0.5016281741	1.301545892	0	0.4457445634	0.2954883684	0.008156329652	0	0	0	0.6691754876	0
51	0.5015765543	1.301296448	0	0.4456926475	0.2948655161	0.008156329652	0	0	0	0.669141439	0
52	0.5015636493	1.301226731	0	0.4456832859	0.295571898	0.008382419574	0	0	0	0.6691401424	0
53	0.5014690131	1.300991824	0	0.4457667273	0.2957878681	0.00815771584	0	0	0	0.6691038558	0
54	0.5016152691	1.300721081	0	0.4459156972	0.2953062224	0.008381470155	0	0	0	0.6690705925	0
55	0.5016711906	1.300626107	0	0.4461391651	0.2956041373	0.008380520951	0	0	0	0.6689678606	0
56	0.5018819714	1.300430382	0	0.4462105487	0.2980479165	0.008269143634	0	0	0	0.6692438829	0
57	0.5022088967	1.299741037	0	0.4465831166	0.2981460904	0.00736418739	0	0	0	0.6697370659	0
58	0.5021787851	1.299562026	0	0.4463682566	0.3000484637	0.007251713784	0	0	0	0.669688931	0
59	0.5021142604	1.299393139	0	0.446315191	0.2985950526	0.007252124646	0	0	0	0.6696281917	0
60	0.5020712439	1.299277039	0	0.4462057575	0.2992254382	0.007251302969	0	0	0	0.6694785562	0
61	0.5021658802	1.299040453	0	0.4463469148	0.3002653959	0.00736418739	0	0	0	0.6695913472	0
62	0.5022175	1.299012539	0	0.4464522651	0.3002111707	0.00736418739	0	0	0	0.6696382992	0
63	0.5022304049	1.298968996	0	0.4465787832	0.2999864365	0.007477482581	0	0	0	0.669615956	0
64	0.5021787851	1.298879918	0	0.4466968211	0.2998217883	0.007477906186	0	0	0	0.6695782857	0
65	0.5021615785	1.298805121	0	0.4465913579	0.3003288837	0.007477482581	0	0	0	0.6695115775	0
66	0.5022562148	1.298658618	0	0.4465710989	0.300902398	0.007477906186	0	0	0	0.6696279568	0
67	0.5023895659	1.298472237	0	0.4462423902	0.3010440835	0.008040770102	0	0	0	0.6697520881	0
68	0.502376661	1.298190706	0	0.4463182541	0.3018816893	0.007928866738	0	0	0	0.6696681619	0
69	0.50260895	1.297911979	0	0.4462490394	0.3012073877	0.007930214116	0	0	0	0.6698541994	0
70	0.5028627473	1.297684695	0	0.4466511089	0.3011156737	0.007591207795	0	0	0	0.6699949083	0
71	0.5029186687	1.29759697	0	0.4467703539	0.301657373	0.007478753541	0	0	0	0.6699929196	0
72	0.5030692264	1.297364345	0	0.4469669927	0.2996825149	0.007478753541	0	0	0	0.6701712735	0
73	0.5030907347	1.297301982	0	0.4470541591	0.2997779423	0.007478753541	0	0	0	0.6701857008	0
74	0.5032240858	1.297106156	0	0.4471790808	0.3005279913	0.007590777771	0	0	0	0.6705734236	0
75	0.5032025775	1.297050415	0	0.4471774865	0.3005629975	0.00747917729	0	0	0	0.6704310712	0
76	0.5031896726	1.296987279	0	0.4469004065	0.3018736316	0.007592498159	0	0	0	0.670270136	0
77	0.5032843089	1.296945691	0	0.4470874056	0.302300364	0.007592498159	0	0	0	0.670314796	0
78	0.5032929122	1.296855347	0	0.4471981647	0.3022062099	0.007817368153	0	0	0	0.6702789966	0
79	0.5033144204	1.296828674	0	0.4471935271	0.3019511344	0.007817368153	0	0	0	0.6703252133	0
80	0.5033144204	1.296738374	0	0.4471232877	0.3025105979	0.007816925343	0	0	0	0.670306427	0
81	0.5034262633	1.29652429	0	0.447373642	0.3015848413	0.008490886449	0	0	0	0.6705804422	0
82	0.5033703419	1.296496327	0	0.4473479496	0.3016404873	0.008265866501	0	0	0	0.6704780199	0
83	0.503331627	1.296270394	0	0.447802697	0.3008852994	0.008265398551	0	0	0	0.670704188	0
84	0.5033273254	1.296211041	0	0.4478460736	0.3008265746	0.008265398551	0	0	0	0.6707492646	0
85	0.5032671023	1.296059135	0	0.447762609	0.3014892422	0.008265398551	0	0	0	0.67065913	0
86	0.5032972138	1.296007828	0	0.4477092932	0.3016924209	0.008265866501	0	0	0	0.6706667829	0
87	0.5035122963	1.295676755	0	0.4478352993	0.302725302	0.008152635453	0	0	0	0.6707908057	0
88	0.503490788	1.295586821	0	0.4478062822	0.3024507337	0.008264930654	0	0	0	0.670781893	0
89	0.5036413457	1.295326405	0	0.4477926607	0.3040996568	0.008152173913	0	0	0	0.6707749472	0
90	0.5037445853	1.295176736	0	0.4480954872	0.3049796924	0.008039404405	0	0	0	0.6707765834	0
91	0.5037273787	1.295148192	0	0.4481018075	0.3047963662	0.007926622127	0	0	0	0.6708158032	0
92	0.503822015	1.295068335	0	0.4480713107	0.3057209821	0.007927968741	0	0	0	0.6708599215	0
93	0.5038263166	1.294995764	0	0.448160429	0.3054866916	0.007927519819	0	0	0	0.6708147706	0
94	0.5038650315	1.294926193	0	0.448239755	0.3056142643	0.007927519819	0	0	0	0.6708370841	0
95	0.5037962051	1.29476372	0	0.4481597401	0.3068787124	0.007927070947	0	0	0	0.6708254595	0
96	0.5038392216	1.294724997	0	0.4481065084	0.3056756809	0.007927519819	0	0	0	0.6707948819	0
97	0.5038650315	1.294614285	0	0.448087345	0.3060860219	0.007927519819	0	0	0	0.670870689	0
98	0.5040198908	1.294545423	0	0.4483351968	0.3059456344	0.008377674629	0	0	0	0.6710567264	0
99	0.5040500024	1.294476768	0	0.4481929623	0.3059569562	0.008265398551	0	0	0	0.6710965109	0
100	0.5040457007	1.294473577	0	0.4482422107	0.3060373807	0.008265866501	0	0	0	0.6710747916	0
101	0.5039639694	1.294381906	0	0.448048496	0.3070163658	0.008152635453	0	0	0	0.6709015169	0
102	0.503968271	1.294319828	0	0.4481331755	0.3065976218	0.008265398551	0	0	0	0.6708665467	0
103	0.5039725727	1.29429253	0	0.4480593199	0.3067689358	0.008040314818	0	0	0	0.6709477763	0
104	0.5040801139	1.294181772	0	0.4476394201	0.3066531059	0.008266334503	0	0	0	0.671128535	7.981164452e-05
105	0.5041575436	1.294123879	0	0.4475960811	0.3067442262	0.008491847826	0	0	0	0.67114005	7.981164452e-05
106	0.5041661469	1.294103069	0	0.44768779	0.3067534112	0.008604585338	0	0	0	0.6711378258	7.981164452e-05
107	0.5041833535	1.294040208	0	0.4477954173	0.3076069063	0.008604585338	0	0	0	0.6710812569	7.981164452e-05
108	0.5042177667	1.293982477	0	0.4478058722	0.3075951305	0.008490886449	0	0	0	0.6711643018	7.981164452e-05
109	0.5042779898	1.293873342	0	0.4477911487	0.3077924066	0.008378623188	0	0	0	0.6712272008	7.98084597e-05
110	0.5043339112	1.29379769	0	0.4477512122	0.3080869965	0.008378623188	0	0	0	0.6712910016	7.98084597e-05
111	0.5042349733	1.293746866	0	0.4477314885	0.3073296021	0.00905387053	0	0	0	0.6711659085	7.98084597e-05
112	0.50422637	1.293382192	0	0.4480639751	0.3087135342	0.009052333805	0	0	0	0.6710137714	7.98084597e-05
113	0.5044199442	1.293262921	0	0.4480909959	0.3081045902	0.009052333805	0	0	0	0.6713821354	7.98084597e-05
114	0.5043597211	1.293174687	0	0.4479921132	0.3081399801	0.008939179632	0	0	0	0.6713721132	0
115	0.5042650848	1.293114749	0	0.4478452459	0.3079780207	0.00905335823	0	0	0	0.6712271406	0
116	0.5042693865	1.29302297	0	0.4475792656	0.308591355	0.009502799932	0	0	0	0.6711318714	0
117	0.5040930189	1.29277541	0	0.4476617002	0.3092787442	0.00961484079	0	0	0	0.6708757316	0.0001595978135
118	0.5040715106	1.29269816	0	0.4475739118	0.3092093948	0.009502262443	0	0	0	0.6708841331	0.0001595978135
119	0.5041059238	1.292672753	0	0.4476971147	0.3093008143	0.009502262443	0	0	0	0.6708704797	0.0001595978135
120	0.5041747502	1.292599704	0	0.4476312501	0.3086523737	0.009501725016	0	0	0	0.6709527126	0.0001595978135
121	0.5041188287	1.292577878	0	0.4475856196	0.308411036	0.009389140271	0	0	0	0.6708969885	0.0001595978135
122	0.5040930189	1.292506464	0	0.4473049075	0.3087815986	0.009388078272	0	0	0	0.6708681384	0.0001595978135
123	0.5042091634	1.292391195	0	0.4476837633	0.3090582067	0.009500650342	0	0	0	0.670961804	0.0001595978135
124	0.5043339112	1.292247032	0	0.4477730795	0.3096643552	0.01006275086	0	0	0	0.6710334849	0.0001595978135
125	0.5043167046	1.29222366	0	0.4477431274	0.3096352624	0.01006275086	0	0	0	0.671005613	0.0001595978135
126	0.5043296095	1.292155129	0	0.4477999443	0.3094847015	0.01006275086	0	0	0	0.6710555772	0.0001595978135
127	0.5042048617	1.292099014	0	0.447614269	0.3093027698	0.01006275086	0	0	0	0.6709282128	0.0002393871688
128	0.5042392749	1.292070293	0	0.4475790715	0.3092972601	0.01006275086	0	0	0	0.6709886548	0.0002393871688
129	0.5042349733	1.292055593	0	0.4475352898	0.3092972601	0.01006275086	0	0	0	0.6709745341	0.0003989467805
130	0.5042091634	1.292023845	0	0.4476675689	0.3091065456	0.01006275086	0	0	0	0.6709592892	0.0003989467805
131	0.5041790518	1.291940746	0	0.4476770572	0.3092287422	0.01006331976	0	0	0	0.6709126342	0.0003989308653
132	0.504299498	1.291890828	0	0.4478672231	0.3091495904	0.01017581548	0	0	0	0.6710142825	0.0004786979416
133	0.50422637	1.291780127	0	0.4476803898	0.3102646229	0.01028713543	0	0	0	0.6708949497	0.0004787170383
134	0.504299498	1.291712729	0	0.4477821247	0.3103586341	0.01028713543	0	0	0	0.6708655018	0.0004787170383
135	0.5042306716	1.291686227	0	0.4477683303	0.310085796	0.01028713543	0	0	0	0.6707933928	0.0003989467805
136	0.5042177667	1.291656878	0	0.4477847471	0.3099950425	0.010286554	0	0	0	0.6707598678	0.0003989467805
137	0.5043425145	1.291623409	0	0.4478905323	0.310302753	0.01039783002	0	0	0	0.6709632468	0.0003989467805
138	0.5043382128	1.291592796	0	0.4479399795	0.3102415956	0.01039841763	0	0	0	0.6709272331	0.0004786979416
139	0.5042693865	1.291449233	0	0.4473635907	0.3098962307	0.01039900531	0	0	0	0.6709085712	0.0003989308653
140	0.5042951963	1.29139518	0	0.4474957291	0.3097817793	0.01039959306	0	0	0	0.6708775301	0.0003989308653
141	0.5043081013	1.291380979	0	0.447515709	0.3098580803	0.01039959306	0	0	0	0.6708578718	0.0003989308653
142	0.5043554194	1.291343945	0	0.4475547926	0.3099402934	0.0106238698	0	0	0	0.6708992868	0.0003989308653
143	0.5043210062	1.291323933	0	0.4475046874	0.309987599	0.0106238698	0	0	0	0.6709200583	0.0003989308653
144	0.5043898326	1.291302815	0	0.4478055088	0.309981685	0.01051144391	0	0	0	0.6708640543	0.0003989308653
145	0.5043941343	1.291199519	0	0.4476120547	0.310197544	0.01073567635	0	0	0	0.6709613273	0.0003989467805
146	0.504299498	1.29114567	0	0.4475171144	0.3102283785	0.01062326948	0	0	0	0.6709501977	0.0003989467805
147	0.5043425145	1.291091773	0	0.4475937831	0.3101948968	0.01062266923	0	0	0	0.6710842774	0.0004786979416
