Latitude,Longitude
29.8543636,-95.4030221
29.761628,-95.422592
29.7683102,-95.3830939
29.8543636,-95.4030221
29.774392,-95.397281
55.8676782,-4.5494556
NaN,NaN
29.8543636,-95.4030221
29.769732,-95.42253
29.771362,-95.407168
29.773544,-95.408309
29.772049,-95.407425
32.228257,-97.75034
NaN,NaN
29.769025,-95.420074
29.8543636,-95.4030221
NaN,NaN
29.771294,-95.412408
29.773842198597265,-95.39056714622104
29.7683102,-95.3830939
29.777919,-95.397355
29.778266932885906,-95.41082833892618
NaN,NaN
29.8543636,-95.4030221
29.774392,-95.397281
29.8543636,-95.4030221
29.8543636,-95.4030221
29.782036,-95.424457
29.8543636,-95.4030221
NaN,NaN
29.8543636,-95.4030221
29.763181,-95.413534
29.776015494949494,-95.42553198989899
29.766736790921495,-95.39661512880588
29.7621142,-95.4058689
29.8543636,-95.4030221
29.8543636,-95.4030221
29.765483,-95.404899
NaN,NaN
NaN,NaN
29.777919,-95.397355
29.7683102,-95.3830939
NaN,NaN
29.77197,-95.412664
29.768464,-95.401763
29.770554,-95.408486
29.778266932885906,-95.41082833892618
29.770168466666664,-95.40204311111111
29.8543636,-95.4030221
29.768464,-95.401763
29.778483,-95.416036
29.77075,-95.417567
29.8393367,-95.4568672
29.8543636,-95.4030221
29.8543636,-95.4030221
29.77637,-95.413479
NaN,NaN
NaN,NaN
29.774392,-95.397281
29.8543636,-95.4030221
29.78211,-95.41847
29.7638071,-95.3734904
NaN,NaN
29.77828495,-95.4291879179721
29.7638071,-95.3734904
29.773141,-95.394316
29.8543636,-95.4030221
NaN,NaN
29.771310893003037,-95.40507157794187
29.770168466666664,-95.40204311111111
29.7638071,-95.3734904
29.8543636,-95.4030221
29.8543636,-95.4030221
NaN,NaN
55.8676782,-4.5494556
29.781429,-95.413907
55.8676782,-4.5494556
NaN,NaN
29.77053,-95.397224
29.7683102,-95.3830939
29.7683102,-95.3830939
29.772076,-95.408278
29.775284,-95.406137
29.765542,-95.401949
29.76403895,-95.40138300000001
29.772841,-95.407214
29.761479,-95.419985
29.761479,-95.419985
29.774242,-95.406353
29.775254383838384,-95.40529905050505
29.762933,-95.419371
29.8543636,-95.4030221
29.764436,-95.420266
29.8543636,-95.4030221
29.767741,-95.403327
29.770179,-95.394101
29.772589,-95.406084
29.771365,-95.406293
29.769950696969698,-95.40006844444444
