1856,5280 BUFFALO SPEEDWAY ,HOUSTON,TX,
1857,5280 BUFFALO SPEEDWAY ,HOUSTON,TX,
1858,7922 ELLINGER LN,HOUSTON,TX,
1861,1000 HADLEY ST,HOUSTON,TX,
1865,14750 PIPING ROCK LN,HOUSTON,TX,
1866,14750 PIPING ROCK LN,HOUSTON,TX,
1867,8655 PITNER RD,HOUSTON,TX,
1869,9602 TRIOLA LN,HOUSTON,TX,
1870,828 MERCURY DR,HOUSTON,TX,
1872,2619 CROCKER ST,HOUSTON,TX,
1874,603 EDGEWOOD ST,HOUSTON,TX,
1875,12406 GARDEN ST,HOUSTON,TX,
1876,3200 DIXIE DR,HOUSTON,TX,
1877,14085 NORTHWEST FWY,HOUSTON,TX,
1878,4200 SCOTLAND ,HOUSTON,TX,
1879,7992 LOCKE LN,HOUSTON,TX,
1880,10000 HAMMERLY BLVD,HOUSTON,TX,
1881,5436 BELLFORT AVE,HOUSTON,TX,
1883,2619 CROCKER ST,HOUSTON,TX,
1884,5880 INWOOD DR,HOUSTON,TX,
1885,5880 INWOOD DR,HOUSTON,TX,
1886,2135 SHADOWDALE DR,HOUSTON,TX,
1887,1700 LINE ,HOUSTON,TX,
1889,5555 HOLLY VIEW DR,HOUSTON,TX,
1890,5555 HOLLY VIEW DR,HOUSTON,TX,
1891,2225 LOUISIANA ST,HOUSTON,TX,
1892,2225 LOUISIANA ST,HOUSTON,TX,
1895,7700 WILLOW CHASE BLVD,HOUSTON,TX,
1896,4001 WATONGA BLVD,HOUSTON,TX,
1897,2001 OJEMAN RD,HOUSTON,TX,
1898,2001 OJEMAN RD,HOUSTON,TX,
1899,4714 OLD SPANISH TRL,HOUSTON,TX,
1900,6406 HEATH ST,HOUSTON,TX,
1901,8551 DAMASCUS DR,HOUSTON,TX,
1904,11959 SAM HOUSTON PKWY,HOUSTON,TX,
1905,11959 SAM HOUSTON PKWY,HOUSTON,TX,
1906,3602 FLORINDA ST,HOUSTON,TX,
1907,5635 DUMFRIES DR,HOUSTON,TX,
1908,4902 MARTIN LUTHER KING BLVD,HOUSTON,TX,
1909,8104 ARKANSAS ST,HOUSTON,TX,
1910,8104 ARKANSAS ST,HOUSTON,TX,
1911,8104 ARKANSAS ST,HOUSTON,TX,
1912,778 BATESWOOD DR,HOUSTON,TX,
1913,301 MAIN ST,HOUSTON,TX,
1915,13330 EAST FWY,HOUSTON,TX,
1916,1002 UVALDE RD,HOUSTON,TX,
1917,1720 MAIN ST,HOUSTON,TX,
1918,2800 TERMINAL RD,HOUSTON,TX,
1920,7700 ALMEDA GENOA RD,HOUSTON,TX,
1922,4001 LIBERTY RD,HOUSTON,TX,
1923,8200 BROADWAY ST,HOUSTON,TX,
1924,12221 FLEMING DR,HOUSTON,TX,
1926,1001 TEXAS ST,HOUSTON,TX,
1927,13898 POST OAK RD,HOUSTON,TX,
1928,5555 HOLLY VIEW DR,HOUSTON,TX,
1929,5939 SOUTHRIDGE ST,HOUSTON,TX,
1930,9445 CONCOURSE DR,HOUSTON,TX,
1931,9445 CONCOURSE DR,HOUSTON,TX,
1932,4622 CENTER ST,HOUSTON,TX,
1933,2400 LOOP ,HOUSTON,TX,
1934,2400 LOOP ,HOUSTON,TX,
1935,2400 LOOP ,HOUSTON,TX,
1936,811 24TH ST,HOUSTON,TX,
1937,1512 AHRENS ST,HOUSTON,TX,
1939,14695 BRIAR FOREST DR,HOUSTON,TX,
1940,6423 RICHMOND AVE,HOUSTON,TX,
1941,3800 LIBERTY RD,HOUSTON,TX,
1942,1298 SANDMAN ST,HOUSTON,TX,
1943,7208 NARCISSUS ,HOUSTON,TX,
1946,10910 GULF FWY,HOUSTON,TX,
1947,9610 MARLIVE LN,HOUSTON,TX,
1948,9610 MARLIVE LN,HOUSTON,TX,
1949,326 COACH LAMP LN,HOUSTON,TX,
1950,14527 KINGS HEAD DR,HOUSTON,TX,
